iter	Passed	Remaining
0	7	1517
1	13	1329
2	22	1405
3	31	1473
4	35	1339
5	43	1356
6	52	1393
7	61	1427
8	70	1441
9	77	1425
10	85	1420
11	93	1409
12	101	1408
13	108	1392
14	116	1386
15	123	1366
16	130	1354
17	139	1354
18	146	1344
19	153	1327
20	161	1325
21	169	1317
22	177	1311
23	185	1303
24	192	1294
25	200	1289
26	208	1279
27	216	1273
28	222	1259
29	230	1251
30	237	1241
31	245	1235
32	252	1222
33	259	1213
34	266	1202
35	272	1190
36	280	1183
37	287	1171
38	294	1164
39	301	1151
40	307	1140
41	314	1131
42	320	1119
43	328	1111
44	335	1104
45	343	1099
46	350	1088
47	356	1078
48	363	1068
49	369	1058
50	377	1052
51	385	1044
52	393	1039
53	400	1031
54	409	1026
55	416	1019
56	424	1013
57	432	1006
58	440	999
59	447	992
60	455	985
61	462	978
62	470	970
63	477	961
64	484	954
65	491	946
66	498	937
67	506	930
68	512	921
69	520	914
70	527	906
71	534	897
72	541	889
73	547	880
74	555	873
75	561	864
76	568	856
77	575	848
78	582	840
79	590	834
80	596	825
81	604	818
82	611	809
83	618	802
84	624	793
85	631	785
86	639	778
87	646	771
88	653	764
89	660	755
90	667	748
91	674	740
92	681	733
93	688	725
94	695	717
95	703	710
96	709	702
97	717	695
98	723	687
99	730	679
100	737	672
101	745	664
102	752	657
103	758	649
104	766	642
105	773	634
106	780	627
107	787	619
108	793	611
109	800	604
110	807	596
111	814	588
112	820	580
113	826	572
114	834	565
115	841	558
116	849	551
117	856	544
118	864	537
119	872	530
120	880	523
121	888	516
122	896	509
123	903	502
124	910	495
125	917	488
126	925	481
127	933	474
128	941	466
129	948	459
130	955	452
131	963	445
132	969	437
133	976	430
134	983	422
135	990	415
136	998	408
137	1005	400
138	1012	393
139	1018	385
140	1025	378
141	1033	371
142	1039	363
143	1047	356
144	1053	348
145	1061	341
146	1067	334
147	1074	326
148	1082	319
149	1089	312
150	1097	305
151	1103	297
152	1111	290
153	1118	283
154	1125	276
155	1132	268
156	1139	261
157	1146	253
158	1153	246
159	1160	239
160	1167	232
161	1175	224
162	1183	217
163	1190	210
164	1199	203
165	1206	196
166	1215	189
167	1225	182
168	1232	175
169	1241	167
170	1249	160
171	1258	153
172	1266	146
173	1274	139
174	1283	131
175	1291	124
176	1300	117
177	1308	110
178	1316	103
179	1324	95
180	1331	88
181	1339	80
182	1346	73
183	1353	66
184	1361	58
185	1368	51
186	1375	44
187	1382	36
188	1389	29
189	1396	22
190	1404	14
191	1411	7
192	1419	0
